Star_name,Injection_wavelength,Injected_peak_photons,Local_median_photons
HIP100859,5555.36527738973,222487.19781249997,107095.34765625
HIP100859,5622.229264717167,334026.21281249996,108917.5
HIP101027,5490.07413621209,362211.95578124997,230024.01953125
HIP101027,5555.36527738973,488877.3775,235992.90234375
HIP101027,5622.229264717167,734373.9881249999,239519.6015625
HIP101093,5490.07413621209,77458.93889648438,50349.908203125
HIP101093,5555.36527738973,104136.89808593749,50076.47265625
HIP101093,5622.229264717167,156703.2582421875,51066.515625
HIP101150,5490.07413621209,9969.53893066406,5478.166015625
HIP101150,5555.36527738973,14150.97291015625,6665.4375
HIP101150,5622.229264717167,21407.12021484375,6018.939453125
HIP101180,5490.07413621209,7639.558289794919,4011.5716552734375
HIP101180,5555.36527738973,9608.140473632808,4061.50537109375
HIP101180,5622.229264717167,15389.882666015621,3705.80615234375
HIP101262,5490.07413621209,39944.33229492187,25016.2919921875
HIP101262,5555.36527738973,55952.109257812495,26278.4873046875
HIP101262,5622.229264717167,84750.94511718748,26862.7841796875
HIP101382,5490.07413621209,197435.27484375,121538.890625
HIP101382,5555.36527738973,272339.33304687496,131178.615234375
HIP101382,5622.229264717167,413317.764609375,133562.556640625
HIP101955,5490.07413621209,119881.32955078123,76940.267578125
HIP101955,5555.36527738973,168957.113046875,78855.556640625
HIP101955,5622.229264717167,254747.0872265625,81895.240234375
HIP102040,5490.07413621209,221538.74261718753,143384.8359375
HIP102040,5555.36527738973,301974.31437499996,147455.28515625
HIP102040,5622.229264717167,460126.526953125,150985.2109375
HIP102101,5490.07413621209,10766.87911376953,6520.677978515625
HIP102101,5555.36527738973,15074.389765624997,6780.615966796875
HIP102101,5622.229264717167,22516.042675781246,6402.3262939453125
HIP102226,5490.07413621209,119720.71072265625,76464.03515625
HIP102226,5555.36527738973,165151.66554687498,79693.28125
HIP102226,5622.229264717167,251335.1325,82027.8046875
HIP102253,5490.07413621209,236066.53312500002,154455.0078125
HIP102253,5555.36527738973,319206.5396875,156270.41796875
HIP102253,5622.229264717167,479479.14328124997,157631.53515625
HIP102422,5490.07413621209,305539.54523437493,171366.45703125
HIP102422,5555.36527738973,432269.83265625,192006.15234375
HIP102422,5622.229264717167,675617.3039062499,197277.23046875
HIP102488,5490.07413621209,201692.34902343742,110919.640625
HIP102488,5555.36527738973,290311.79531249986,123939.9375
HIP102488,5622.229264717167,450060.3697265624,126916.232421875
HIP102531,5490.07413621209,107746.13126953124,63238.38671875
HIP102531,5555.36527738973,147356.40867187496,70893.279296875
HIP102531,5622.229264717167,225941.66695312498,69817.294921875
HIP102532,5490.07413621209,109225.40191406249,63099.6142578125
HIP102532,5555.36527738973,150149.4694921875,72826.9638671875
HIP102532,5622.229264717167,230238.32554687496,72312.1708984375
HIP10279,5490.07413621209,11625.606254882807,6443.5625
HIP10279,5555.36527738973,16460.82921875,6920.134765625
HIP10279,5622.229264717167,24161.67471679687,6090.244140625
HIP102805,5490.07413621209,165147.09890624997,106023.3046875
HIP102805,5555.36527738973,223239.15796875,109229.3125
HIP102805,5622.229264717167,338359.914375,110080.5
HIP102843,5490.07413621209,90950.01251953124,58542.30078125
HIP102843,5555.36527738973,121394.61234374999,58393.2734375
HIP102843,5622.229264717167,181645.4054296875,59241.306640625
HIP102870,5490.07413621209,12838.04641113281,7884.01220703125
HIP102870,5555.36527738973,18267.674374999995,8299.64697265625
HIP102870,5622.229264717167,27137.86795898436,8370.842041015625
HIP103039,5490.07413621209,4633.2935961914045,2339.3634033203125
HIP103039,5555.36527738973,5132.480622558586,1959.5399169921875
HIP103039,5622.229264717167,9068.951916503898,2025.7396240234375
HIP103096,5490.07413621209,105022.52021484371,60995.3125
HIP103096,5555.36527738973,148462.71664062492,64999.923828125
HIP103096,5622.229264717167,220962.80472656243,58861.87890625
HIP103256,5490.07413621209,22350.65806640624,14164.939453125
HIP103256,5555.36527738973,30982.4225,14718.68359375
HIP103256,5622.229264717167,46922.25439453125,15207.4521484375
HIP103388,5490.07413621209,1855.335827636717,935.825927734375
HIP103388,5555.36527738973,2452.256591796874,1005.418701171875
HIP103388,5622.229264717167,3775.241228027341,885.467529296875
HIP103441,5490.07413621209,1899.7083425903315,970.92578125
HIP103441,5555.36527738973,2526.2397143554676,990.5758056640625
HIP103441,5622.229264717167,3941.118457031249,916.6174926757812
HIP103650,5490.07413621209,24963.784760742186,15590.06787109375
HIP103650,5555.36527738973,34568.090566406245,16253.865234375
HIP103650,5622.229264717167,52454.16222656249,16106.4501953125
HIP103800,5490.07413621209,3109.626172485351,1595.9736938476562
HIP103800,5555.36527738973,4176.015004882811,1704.3153076171875
HIP103800,5622.229264717167,6340.054929199216,1521.2510986328125
HIP103859,5490.07413621209,66754.73329101563,41189.8203125
HIP103859,5555.36527738973,91443.431953125,43955.505859375
HIP103859,5622.229264717167,138342.85013671874,43767.0888671875
HIP104019,5490.07413621209,177268.362421875,113214.7265625
HIP104019,5555.36527738973,237166.71546875,116105.60546875
HIP104019,5622.229264717167,355311.44718749996,115810.859375
HIP104092,5490.07413621209,55489.613613281246,34658.583984375
HIP104092,5555.36527738973,77903.20472656249,36425.8251953125
HIP104092,5622.229264717167,116316.95150390624,36267.5517578125
HIP104139,5490.07413621209,112028.25814453125,72827.71484375
HIP104139,5555.36527738973,149104.08484375,72863.919921875
HIP104139,5622.229264717167,221583.12749999997,72460.56640625
HIP10416,5490.07413621209,56828.697363281244,32743.8056640625
HIP10416,5555.36527738973,78983.16374999999,38020.306640625
HIP10416,5622.229264717167,119602.89164062499,36818.6796875
HIP104239,5490.07413621209,143358.3734765625,91388.1328125
HIP104239,5555.36527738973,197203.29875,94794.65625
HIP104239,5622.229264717167,299624.6315625,98101.86328125
HIP104383,5490.07413621209,16940.804772949217,9175.038818359375
HIP104383,5555.36527738973,23690.1873828125,11342.384765625
