Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
rbou.101.fits,HIP92043,HIP92043,HIP92043,Off,Off,Off,Off,2019-09-18T05:00:43.69,18:45:39.7, 20:32:46.7,125.9171,1477440,8f9abfb22f94569d6acc16cf62254522
rbou.108.fits,HIP102422,HIP102422,HIP102422,Off,Off,Off,Off,2019-09-18T05:41:53.78,20:45:17.4, 61:50:19.6,137.53192,1477440,10d4163f3734d9ff7e3b647a8ec11c9b
rbou.109.fits,HIP102422,HIP102422,HIP102422,Off,Off,Off,Off,2019-09-18T05:42:51.66,20:45:17.4, 61:50:19.6,140.83264,1477440,35e93a1ec4adee4740e7e47bb9a9b3b3
rbou.110.fits,HIP102422,HIP102422,HIP102422,Off,Off,Off,Off,2019-09-18T05:43:51.15,20:45:17.4, 61:50:19.6,146.49411,1477440,57174725e2e91230684273a4af90f78d
rbou.117.fits,HIP4151,HIP4151,HIP4151,Off,Off,Off,Off,2019-09-18T07:06:38.47, 0:53:04.2, 61:07:26.3,115.73898,1477440,7b7524ea02dd7ef45133619c83a99cdb
rbou.118.fits,HIP4151,HIP4151,HIP4151,Off,Off,Off,Off,2019-09-18T07:08:06.20, 0:53:04.2, 61:07:26.3,112.87273,1477440,c9dee3a1085a8e1cc529bc9b47423c58
rbou.120.fits,HIP102488,HIP102488,HIP102488,Off,Off,Off,Off,2019-09-18T07:16:19.81,20:46:12.7, 33:58:12.9,126.4859,1477440,85ed3f4acd14e673904d857568c4605e
rbou.122.fits,HIP102488,HIP102488,HIP102488,Off,Off,Off,Off,2019-09-18T07:17:59.72,20:46:12.7, 33:58:12.9,142.16081,1477440,c83950299b3cea36ca280555b497e7c2
rbou.128.fits,HIP12777,HIP12777,HIP12777,Off,Off,Off,Off,2019-09-18T07:48:40.98, 2:44:12.0, 49:13:42.4,134.38727,1477440,0422b849271d2a7923b8dd97e864f604
rbou.129.fits,HIP12777,HIP12777,HIP12777,Off,Off,Off,Off,2019-09-18T07:50:01.69, 2:44:12.0, 49:13:42.4,128.31091,1477440,6c577d567146d9146ade892dfa3d4fea
rbou.130.fits,HIP10644,HIP10644,HIP10644,Off,Off,Off,Off,2019-09-18T07:51:37.99, 2:17:03.2, 34:13:27.2,109.4341,1477440,a6c3bf07aeb891e273aed58bfb605137
