,Unnamed: 0.1,star,identifier,r shifted wl,r unshifted wl,r heights,r AMD heights,rounded r shifted wl,observation time,rounded r unshifted wl,name,best_mean_chi_squared
109,68,HIP68030,HIP68030_3,5405.716538327908,5405.936120392815,0.1294347897359433,7.675427386929094,5405.72,2020-05-29T05:26:57.22,5405.94,HIP68030_3,1.58
110,148,HIP91926,HIP91926_1,5429.490338188629,5427.95618926968,0.0092071610820774,6.648605180392674,5429.5,2017-08-25T05:21:28.67,5427.96,HIP91926_1,5.15
111,147,HIP91926,HIP91926_0,5429.490338188629,5428.002109281869,0.0057258362058642,6.202267805071332,5429.5,2017-08-25T05:20:00.48,5428.0,HIP91926_0,5.15
112,149,HIP91926,HIP91926_3,5429.508765134659,5428.03889946182,0.0083738508344975,6.291000400560553,5429.5,2017-08-25T05:18:30.96,5428.04,HIP91926_3,5.13
113,157,HIP97649,HIP97649_11,5446.617471879319,5445.142974571862,0.0095143733182038,6.541369615411336,5446.62,2018-06-29T11:21:34.91,5445.14,HIP97649_11,5.0
114,156,HIP97649,HIP97649_10,5446.617471879319,5445.225893854615,0.0106145014782949,6.457501485099137,5446.62,2018-06-29T11:20:46.20,5445.22,HIP97649_10,4.97
115,159,HIP97649,HIP97649_4,5446.617471879319,5445.161400860898,0.0075201997417567,6.432555338753102,5446.62,2018-06-29T11:23:12.11,5445.16,HIP97649_4,4.96
116,160,HIP97649,HIP97649_9,5446.617471879319,5445.161400860896,0.0105066137792358,6.395566586620246,5446.62,2018-06-29T11:19:58.35,5445.16,HIP97649_9,5.0
117,158,HIP97649,HIP97649_12,5446.617471879319,5445.152187700792,0.0078044929075968,6.062752657403604,5446.62,2018-06-29T11:22:23.82,5445.16,HIP97649_12,5.01
118,67,HIP68030,HIP68030_3,5476.812997463271,5477.035467490799,0.1201235987978112,6.631611929662276,5476.82,2020-05-29T05:26:57.22,5477.04,HIP68030_3,1.58
119,74,HIP68030,HIP68030_5,5476.812997463271,5477.035467490799,0.1206160770880527,6.893942259957341,5476.82,2020-05-29T05:35:37.52,5477.04,HIP68030_5,1.55
120,71,HIP68030,HIP68030_4,5476.812997463271,5477.035467490799,0.1265157344810636,7.024735990684275,5476.82,2020-05-29T05:31:16.21,5477.04,HIP68030_4,9.39
121,33,HIP47990,HIP47990_2,5576.804904279909,5577.399589333492,0.192518392832294,6.564024865525273,5576.8,2021-04-11T06:29:42.93,5577.4,HIP47990_2,3.72
122,32,HIP47990,HIP47990_1,5576.804904279909,5577.409029801343,0.2213985215484118,7.909538350772953,5576.8,2021-04-11T06:08:58.76,5577.4,HIP47990_1,11.55
123,31,HIP47990,HIP47990_0,5576.804904279909,5577.390148897599,0.2155812360141447,7.494347617344648,5576.8,2021-04-11T05:48:14.54,5577.4,HIP47990_0,5.82
124,166,TIC142276270,TIC142276270_2,5576.97524879569,5577.409464048032,0.5305057214039625,18.798265574958734,5576.98,2021-06-20T05:34:45.62,5577.4,TIC142276270_2,13.38
125,165,TIC142276270,TIC142276270_1,5576.97524879569,5577.409464048029,0.5516552004567253,20.05651726078748,5576.98,2021-06-20T05:14:01.43,5577.4,TIC142276270_1,7.32
126,164,TIC142276270,TIC142276270_0,5576.97524879569,5577.40946404803,0.60016019669555,21.373381437411705,5576.98,2021-06-20T04:53:17.06,5577.4,TIC142276270_0,6.57
127,162,HIP98677,HIP98677_2,5577.372739567481,5577.4104974225065,0.2653542520934871,11.846541120204442,5577.38,2020-05-23T07:17:47.82,5577.42,HIP98677_2,2.46
128,161,HIP98677,HIP98677_1,5577.372739567481,5577.4104974225065,0.2572364918765208,11.921328122980924,5577.38,2020-05-23T07:04:35.22,5577.42,HIP98677_1,2.29
129,163,HIP98677,HIP98677_3,5577.372739567481,5577.4104974225065,0.2645307155180065,12.190706895734785,5577.38,2020-05-23T07:30:37.78,5577.42,HIP98677_3,2.38
130,167,TIC198456933,TIC198456933_0,5577.637749154427,5577.411201995656,0.4099976063980748,14.802563180691187,5577.64,2021-08-31T08:26:49.30,5577.42,TIC198456933_0,8.37
131,168,TIC198456933,TIC198456933_1,5577.637749154427,5577.4112019956565,0.3951955255425289,14.664871811964824,5577.64,2021-08-31T08:47:33.70,5577.42,TIC198456933_1,8.61
132,169,TIC198456933,TIC198456933_2,5577.637749154427,5577.411201995656,0.4324147867437619,15.14936077547602,5577.64,2021-08-31T09:08:17.92,5577.42,TIC198456933_2,9.27
133,171,TIC219778329,TIC219778329_1,5577.902771333333,5577.411919092887,0.4127870911759483,17.005549256298576,5577.9,2021-08-27T11:06:15.89,5577.42,TIC219778329_1,9.25
134,170,TIC219778329,TIC219778329_0,5577.902771333333,5577.411919092887,0.326451860520811,13.558742326870728,5577.9,2021-08-27T10:45:31.76,5577.42,TIC219778329_0,7.28
135,172,TIC219778329,TIC219778329_2,5577.902771333333,5577.411919092887,0.3247760639351403,12.732372576107904,5577.9,2021-08-27T11:27:00.09,5577.42,TIC219778329_2,6.17
136,0,HIP101262,HIP101262_2,5578.186737641784,5577.412701307909,0.7011655043171665,7.787934162117953,5578.18,2020-05-28T07:05:27.39,5577.42,HIP101262_2,7.35
137,1,HIP101262,HIP101262_4,5578.186737641784,5577.41270130791,0.6763044048362419,7.482956269318974,5578.18,2020-05-28T07:26:11.59,5577.42,HIP101262_4,8.88
138,2,HIP101262,HIP101262_7,5578.186737641784,5577.41270130791,0.6868313508277931,7.685417281939703,5578.18,2020-05-28T07:46:55.86,5577.42,HIP101262_7,7.94
139,46,HIP677,HIP677_1,5586.390133197386,5584.7738538793565,0.0090512895824257,6.3830293796145074,5586.4,2018-10-23T05:55:41.20,5584.78,HIP677_1,7.26
140,48,HIP677,HIP677_4,5586.390133197386,5584.896696066443,0.0180931185985133,7.211036550513213,5586.4,2018-10-23T05:57:20.82,5584.9,HIP677_4,7.17
141,47,HIP677,HIP677_3,5586.409092639816,5584.849503751312,0.0106836845995877,7.081908212839508,5586.4,2018-10-23T05:56:31.20,5584.84,HIP677_3,7.2
142,44,HIP67301,HIP67301_2,5598.290340452142,5596.727434609623,0.0093157292967982,6.060136048012676,5598.3,2018-07-27T04:40:29.25,5596.72,HIP67301_2,6.79
143,42,HIP67301,HIP67301_1,5598.309340282243,5597.295716612621,0.0097355771131887,6.866623646074065,5598.3,2018-07-27T04:42:19.47,5597.3,HIP67301_1,6.86
144,38,HIP67301,HIP67301_0,5598.309340282243,5597.191533116474,0.0063093176360596,6.536638867711949,5598.3,2018-07-27T04:41:27.04,5597.2,HIP67301_0,6.84
145,118,HIP77760,HIP77760_13,5615.568766027623,5614.751537144296,0.138142925351787,6.902503610700088,5615.56,2018-06-06T07:11:33.71,5614.76,HIP77760_13,1.49
146,111,HIP77760,HIP77760_0,5615.568766027623,5614.751537144296,0.13433488737132,6.451986477831458,5615.56,2018-06-06T07:14:02.49,5614.76,HIP77760_0,1.6
147,129,HIP77760,HIP77760_14,5615.568766027623,5614.751537144296,0.1450892636824771,7.164492580277639,5615.56,2018-06-06T07:12:48.17,5614.76,HIP77760_14,1.53
148,49,HIP68030,HIP68030_0,5853.757068132426,5853.8957717329495,0.1060425271761805,6.591597268957665,5853.76,2017-05-14T06:29:09.62,5853.9,HIP68030_0,1.81
149,86,HIP68030,HIP68030_7,5853.757068132426,5854.034481906737,0.118482986548043,6.323522390488908,5853.76,2020-06-05T05:51:38.20,5854.04,HIP68030_7,3.58
150,59,HIP68030,HIP68030_2,5853.757068132426,5853.8957717329495,0.1150324670935153,8.089512391357767,5853.76,2017-05-14T06:36:48.60,5853.9,HIP68030_2,1.84
151,58,HIP68030,HIP68030_1,5853.757068132426,5853.8957717329495,0.118890189233237,7.398385279869635,5853.76,2017-05-14T06:21:30.41,5853.9,HIP68030_1,1.69
152,79,HIP68030,HIP68030_6,5853.757068132426,5854.034481906737,0.1136183321802695,6.032030700207132,5853.76,2020-06-05T05:38:57.75,5854.04,HIP68030_6,1.55
153,93,HIP68030,HIP68030_8,5853.757068132426,5854.034481906737,0.115119387805818,6.002916000509037,5853.76,2020-06-05T05:45:14.14,5854.04,HIP68030_8,1.53
154,115,HIP77760,HIP77760_13,5853.776934981586,5852.925039868706,0.132336040278568,6.582002256852768,5853.78,2018-06-06T07:11:33.71,5852.92,HIP77760_13,1.49
155,113,HIP77760,HIP77760_0,5853.776934981586,5852.925039868706,0.1411245663710334,7.01606880407614,5853.78,2018-06-06T07:14:02.49,5852.92,HIP77760_0,1.6
