,wl,count
145,5586.94,5
146,5141.92,5
147,5064.86,5
148,5455.28,5
149,5079.84,5
150,5153.8,5
151,5048.94,5
152,5264.92,5
153,5006.14,5
154,5275.28,5
155,5262.76,5
156,5615.18,5
157,5895.28,5
158,5890.18,5
159,5172.08,5
160,5142.32,5
161,5035.88,5
162,5215.3,5
163,5166.9,5
164,5205.94,5
165,5167.0,5
166,5404.46,5
167,5380.54,5
168,5110.24,5
169,5283.78,5
170,5397.16,5
171,5205.2,5
172,5208.82,5
173,5446.36,5
174,5853.78,5
175,5899.5,5
176,5589.08,5
177,5183.5,5
178,5044.62,5
179,5658.26,5
180,5598.38,5
181,5463.14,5
182,5476.5,5
183,5476.32,5
184,5527.54,5
185,5528.44,5
186,5371.6,5
187,5269.9,5
188,5446.46,5
189,5110.32,5
190,5397.02,5
191,5035.44,5
192,5205.14,5
193,5183.34,5
194,5138.82,5
195,5328.14,5
196,5166.86,5
197,5283.48,5
198,5586.78,5
199,5328.08,5
200,5382.68,5
201,5316.22,5
202,5191.7,5
203,5172.24,5
204,5035.5,5
205,5396.98,5
206,5168.32,5
207,5167.32,5
208,5167.8,5
209,5316.32,5
210,5051.68,5
211,5226.72,5
212,5226.68,5
213,5100.12,5
214,5476.72,5
215,5615.3,5
216,5275.22,5
217,5141.98,5
218,5316.56,5
219,5142.52,5
220,5142.04,5
221,5142.38,5
222,5018.04,4
223,5083.98,4
224,5147.28,4
225,5142.4,4
226,5269.6,4
227,5146.04,4
228,5139.72,4
229,5167.1,4
230,5142.02,4
231,5476.58,4
232,5379.8,4
233,5166.96,4
234,5167.02,4
235,5142.1,4
236,5265.4,4
237,5233.1,4
238,5100.6,4
239,5049.88,4
240,5018.68,4
241,5142.16,4
242,5429.44,4
243,5577.6,4
244,5429.62,4
245,5284.46,4
246,5141.74,4
247,5018.4,4
248,5166.94,4
249,5142.7,4
250,5371.18,4
251,5271.44,4
252,5172.48,4
253,5147.86,4
254,5476.06,4
255,5226.46,4
256,5168.68,4
257,5146.46,4
258,5005.8,4
259,5462.9,4
260,5462.7,4
261,5005.48,4
262,5005.84,4
263,5462.26,4
264,5197.94,4
265,5068.68,4
266,5079.82,4
267,5168.78,4
268,5100.04,4
269,5429.3,4
270,5018.38,4
271,5125.16,4
272,5424.5,4
273,5215.56,4
274,5172.0,4
275,5191.82,4
276,5250.14,4
277,5183.56,4
278,5349.26,4
279,5030.24,4
280,5454.2,4
281,5226.92,4
282,5455.7,4
283,5168.52,4
284,5142.68,4
285,5018.12,4
286,5041.14,4
287,5463.08,4
288,5889.5,4
289,5577.3,4
