,Star_name,Velocity_shift [km/s],X-corr_peak
98,HIP116106,82.19582664720694,62.152224800573414
99,HIP1463,90.31393298282072,134.9650941282126
100,HIP50372,7.103343043581561,55.104728427344504
101,GJ687,56.82674434868629,147.5333126312714
102,HIP71181,110.60919882112647,216.4115214115469
103,HIP20648,125.83064820102413,18.480534943635337
104,HIP65143,42.620058261393005,205.1667657658627
105,HIP28103,83.21058993914778,70.04532197570398
106,HIP59378,154.24402037544894,211.28571478226218
107,HIP37826,94.37298615049687,221.02473754384562
108,HIP104521,93.35822285855605,43.34561623399863
109,HIP110750,46.679111429234034,182.65377901771953
110,HIP71284,66.97437726809454,70.87384156125744
111,GJ702B,57.841507640627114,141.61655781492098
112,HIP116215,92.34345956661522,161.65818737392036
113,HIP14668,106.55014565399289,182.48967272966493
114,HIP50384,130.90446466024326,96.25615660197958
115,HIP20713,1.0147632919408267,9.1994892074186
116,HIP65327,73.06295701973951,186.88375506435602
117,HIP28368,108.57967223730572,183.7234691284399
118,HIP5938,115.68301528086776,163.96544053703647
119,HIP38048,134.96351782812994,95.42596386821062
120,HIP104887,75.09248360362116,12.846133983588453
121,HIP110774,97.41727602641336,174.9763225464104
122,GJ768,1.0147632919389116,7.72649741858151
123,HIP14669,85.24011652302944,126.32511832169087
124,HIP116384,81.18106335526613,155.25667903805223
125,HIP71311,44.649584845547864,199.3403212761448
126,HIP65355,131.91922795218315,169.9305694581992
127,HIP50485,88.28440639851378,205.48351658930895
128,HIP20842,91.83607792064456,13.219385450356071
129,HIP29277,69.00390385184599,205.0310851732538
130,HIP5944,76.10724689530772,110.16628790976934
131,HIP38228,94.37298615040794,127.78118483227166
132,HIP105199,1.0147632919408267,8.705215744337936
133,HIP11090,9.13286962746744,14.557621821015978
134,GJ820A,37.54624180181058,178.6058191639332
135,HIP116416,56.82674434868629,145.4566118145595
136,HIP1473,2.029526583877823,7.315387326031619
137,HIP71395,93.35822285855605,207.08615261297064
138,HIP65378,4.566434813732139,53.75731760461873
139,HIP5110,59.87103422462458,207.16598853920436
140,HIP20901,58.85627093262474,11.272747762751429
141,HIP29650,109.59443552960929,99.22205679455016
142,HIP59496,81.1810633549552,210.07231516069237
143,HIP38325,105.53538236174653,96.42902234547891
144,HIP110951,38.561005093751405,162.55556897381956
145,HIP105341,131.91922795230747,258.32738030508295
146,GJ860A,62.91532410033126,146.18489467282788
147,HIP116584,80.16630006305748,112.29925046509756
148,HIP71743,72.04819372773079,165.78031484911847
149,HIP51384,30.95028040419399,51.52686623508786
150,HIP14862,1.5221449379114846,7.195583657313193
151,HIP6537,116.69777857358686,220.43128815058296
152,HIP21029,56.826744348688734,11.800059600292988
153,HIP29761,89.2991696907086,170.13987216330878
154,HIP59514,79.65891841731627,189.5138140378697
155,HIP38712,128.3675564303926,60.066018915411696
156,HIP111169,3.0442898758224795,6.875725768343442
157,HIP10542,97.41727602631934,162.71430248924497
158,GJ860B,59.87103422439579,147.57042867010176
159,HIP116613,79.15153677138447,106.7920789791667
160,HIP71914,69.0039038520428,191.75444619760734
161,HIP51459,71.03343043585787,113.62092619779337
162,HIP65477,-1.0147632919418057,52.08375370514
163,HIP15220,94.37298615049687,177.40873333670046
164,HIP21036,0.0,12.134218614307978
165,HIP29800,111.62396211338574,92.66528348473014
166,HIP5957,70.01866714391704,190.779170011888
167,HIP105668,1.0147632919408267,9.83796605823496
