Star_name,Velocity_shift [km/s],X-corr_peak
HIP107556_3,-79.15153677138447,5.573043720468017
HIP98677_3,2.0295265838816534,95.96628379985742
KIC8462852_57,-44.649584845396376,287.43381945424693
HIP54155_3,50.738164596968936,105.77689359193012
HIP29277_0,-10.147632919408267,162.83580957616974
HIP117779_0,-10.147632919408515,142.36214297437724
HIP88175_2,-76.61462854156892,6.7067122418394005
HIP98036_2,-59.87103422445236,115.77189855835927
HIP6379_2,-32.47242534221547,131.23237931848195
HIP4872_5,-5.073816459704133,117.00183290890124
HIP93843_2,-80.16630006317403,3.6410277925819288
HIP114924_2,-14.206686087158186,64.2716150216954
HIP77052_7,15.2214493791124,110.20731372920494
GJ144_1,10.147632919408267,143.93924183465788
HIP104239_3,-51.75292788898216,149.7080937910037
HIP94650_10,-58.85627093234252,165.7189229403036
HIP79137_3,4.0590531677769555,173.89314605477315
HIP108917_3,-11.162396211386628,13.297701564711396
HIP60303_1,29.428135466241898,154.76532407060134
HIP70475_0,16.236212670998988,573.1352997784196
HIP99742_1,-81.18106335526613,0.4644712265075129
HIP7748_3,-37.546241801739725,179.06479183398952
HIP111169_9,-43.634821553455055,0.2740333123684275
HIP112245_8,-54.79721776480464,102.36102051216572
KIC8462852_58,-57.841507640682934,514.5187398451816
HIP36985_1,6.088579751624593,138.15457409657986
HIP5310_0,-80.16630006340266,0.7460884111438548
TIC317597583_1,33.48718863411205,197.63513918421438
HIP98036_3,-59.87103422445236,120.6553976135303
HIP73695_0,-17.250975962977797,37.69648431616403
HIP116838_0,-6.088579751644959,200.7552888818773
HIP117779_1,-1.0147632919442335,145.45560655177704
HIP6379_3,-33.48718863404727,128.91667996926643
HIP88175_3,-73.06295701973951,6.63926085204443
HIP29277_1,-10.147632919432493,163.56595426086722
HIP114924_3,-37.54624180181058,65.2923721085304
HIP77052_8,32.472425342106455,109.4171707256313
HIP93843_3,-55.811981056744486,3.597040077089403
HIP4872_6,-14.206686087124112,116.0605969446808
