name,HIP_name,Simbad_resolvable_name,filenames,SNR,iodine_flag,failure_code,failure_message,iso_fail_flag,warnings,Teff_bounds_flag,R_bounds_flag,Teff,u_Teff,Teff_detrended,u_Teff_detrended,iso_Teff,iso_up_Teff,iso_um_Teff,radius,u_radius,radius_detrended,u_radius_detrended,iso_radius,iso_up_radius,iso_um_radius,feh,u_feh,feh_detrended,u_feh_detrended,iso_feh,iso_up_feh,iso_um_feh,logg,u_logg,logg_detrended,u_logg_detrended,iso_logg,iso_up_logg,iso_um_logg,mass,u_mass,mass_detrended,u_mass_detrended,iso_mass,iso_up_mass,iso_um_mass,age,u_age,age_detrended,u_age_detrended,iso_age,iso_up_age,iso_um_age,best_mean_chi_squared,timestamp
HIP110951,HIP110951,HIP110951,['rask.224.fits'],40.03966081870029,0,0,No failure,False,[],0,3,3814.609,71.5,3823.568,71.5,3910.173,49.087,49.563,0.557,0.07,0.557,0.07,0.549,0.013,0.013,-0.03,0.09,-0.04,0.09,0.034,0.079,0.075,4.718,0.09,4.718,0.09,4.692,0.011,0.012,0.583,0.6,0.583,0.6,0.544,0.012,0.012,9.73,0.23,9.729,0.23,12.191,5.308,6.99,6.62,05Nov2021-00:38:54
HIP111169,HIP111169,HIP111169,"['rbox.101.fits', 'rbox.097.fits', 'rbox.100.fits', 'rbox.098.fits', 'rbox.099.fits']",348.08987564052694,0,0,No failure,False,[],1,3,6686.577,125.8,6695.536,125.8,6706.982,121.435,120.586,1.731,0.34,1.536,0.34,1.948,0.184,0.171,-0.205,0.09,-0.184,0.09,-0.172,0.083,0.086,4.094,0.09,4.094,0.09,3.994,0.067,0.063,1.347,0.6,1.347,0.6,1.403,0.077,0.065,9.39,0.23,9.387,0.23,1.94,0.301,0.25,6.17,05Nov2021-00:54:18
HIP111170,HIP111170,HIP111170,"['rboc.702.fits', 'rboc.703.fits', 'rboc.701.fits']",269.8764528533149,0,0,No failure,False,[],0,0,6002.06,125.8,6011.018,125.8,6130.22,97.044,111.834,1.223,0.34,1.188,0.34,1.327,0.036,0.031,-0.029,0.09,-0.039,0.09,-0.026,0.111,0.076,4.313,0.09,4.313,0.09,4.248,0.03,0.028,1.089,0.6,1.089,0.6,1.155,0.047,0.053,9.54,0.23,9.543,0.23,3.546,1.289,0.949,1.34,05Nov2021-01:10:55
HIP111313,HIP111313,HIP111313,"['rbgm.225.fits', 'rbgm.226.fits', 'rbgm.224.fits']",80.5040388338044,0,0,No failure,False,[],0,3,3638.624,71.5,3647.582,71.5,3794.176,38.667,41.197,0.453,0.07,0.453,0.07,0.464,0.011,0.011,-0.191,0.09,-0.172,0.09,-0.073,0.079,0.08,4.808,0.09,4.808,0.09,4.766,0.01,0.01,0.464,0.6,0.464,0.6,0.46,0.011,0.011,9.69,0.23,9.691,0.23,11.874,5.5,6.914,5.97,05Nov2021-01:25:38
HIP111685,HIP111685,HIP111685,['rase.243.fits'],90.5229166426933,0,0,No failure,False,[],0,0,4036.119,71.5,4045.078,71.5,0.0,0.0,0.0,0.663,0.07,0.663,0.07,0.0,0.0,0.0,0.045,0.09,0.022,0.09,0.0,0.0,0.0,4.665,0.09,4.665,0.09,0.0,0.0,0.0,0.655,0.6,0.655,0.6,0.0,0.0,0.0,9.78,0.23,9.776,0.23,0.0,0.0,0.0,4.65,05Nov2021-01:41:26
HIP112190,HIP112190,HIP112190,"['rboc.716.fits', 'rboc.718.fits', 'rboc.717.fits']",138.4403622023532,0,0,No failure,False,[],0,0,4837.507,125.8,4846.465,125.8,4949.775,93.02,83.459,0.78,0.07,0.78,0.07,0.778,0.032,0.028,0.07,0.09,0.043,0.09,0.035,0.089,0.087,4.524,0.09,4.524,0.09,4.554,0.034,0.04,0.793,0.6,0.793,0.6,0.797,0.033,0.033,9.99,0.23,9.991,0.23,7.499,6.351,4.958,3.08,05Nov2021-01:55:52
HIP112245,HIP112245,HIP112245,['raqr.214.fits'],180.44930360595745,0,0,No failure,False,[],0,0,5347.465,125.8,5356.423,125.8,5429.166,98.638,94.168,0.97,0.07,0.97,0.07,0.843,0.017,0.016,-0.196,0.09,-0.176,0.09,-0.191,0.088,0.088,4.42,0.09,4.42,0.09,4.503,0.031,0.032,0.839,0.6,0.839,0.6,0.831,0.042,0.041,10.02,0.23,10.018,0.23,7.806,4.451,3.856,2.29,05Nov2021-02:11:06
HIP112496,HIP112496,HIP112496,"['rcam.101.fits', 'rcam.102.fits', 'rcam.103.fits']",193.82782711081504,0,0,No failure,False,[],0,0,4597.491,125.8,4606.45,125.8,4828.12,78.719,69.521,0.748,0.07,0.748,0.07,0.735,0.025,0.024,0.029,0.09,0.009,0.09,-0.011,0.089,0.086,4.578,0.09,4.578,0.09,4.589,0.025,0.034,0.75,0.6,0.75,0.6,0.766,0.029,0.031,9.87,0.23,9.87,0.23,5.415,6.356,3.837,3.94,05Nov2021-02:26:37
HIP112527,HIP112527,HIP112527,['raqq.219.fits'],188.8011675265145,0,0,No failure,False,[],0,0,5073.596,125.8,5082.555,125.8,5136.437,92.494,84.446,0.771,0.07,0.771,0.07,0.774,0.014,0.013,-0.124,0.09,-0.117,0.09,-0.132,0.083,0.081,4.559,0.09,4.559,0.09,4.559,0.025,0.029,0.805,0.6,0.805,0.6,0.796,0.033,0.039,9.73,0.23,9.73,0.23,6.304,5.477,3.893,2.16,05Nov2021-02:40:48
HIP112724,HIP112724,HIP112724,"['rbon.887.fits', 'rbon.888.fits', 'rbon.889.fits', 'rbon.890.fits', 'rbon.885.fits', 'rbon.886.fits']",,1,1,__main__.Iodine_Exception: At least one target spectrum file contains iodine.,,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05Nov2021-02:41:10
