source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
1927184643563033856,359.68530125110453,0.7521933754514264,46.72915122024217,0.6776246615428164,58.40668562175599,0.8983955365146523,8.872798,1.9401822,2.6543062301533618,1.1893842235969936,"NOT_AVAILABLE",4075.29,1.477,0.62846303,0.09814955,"HIP118212",359.6812006710607,46.7290936826221,58.4067,652.815,13.347,5.8,2000.0,1.4604806372970737E-7
2745473254589480960,359.948855902051,0.03167848831009462,6.663436971488817,0.02050451056882946,43.3493962208916,0.04861042030679611,8.491352,1.4059253,6.260828131574653,0.1723448974638293,"NOT_AVAILABLE",4550.82,0.4613,0.71960694,0.20009856,"HIP118310",359.94911337574325,6.664155519562853,39.86,-58.32,-168.69,6.49,2000.0,9.033234042026392E-6
1022456104850892928,138.59167219880297,0.02911789957577602,52.68352106498607,0.029278048749246013,157.88508035574986,0.04142951353406922,7.047747,1.8529077,11.979391137538494,0.1773664671449351,"NOT_AVAILABLE",3995.0151,0.0558,0.5744036,0.07571862,"HIP120005",138.6028460872356,52.6863628112122,157.8851,-1573.121,-660.121,12.104,2000.0,1.2227261731339736E-6
87921523897823872,38.97325875235508,0.07960483858337103,20.219279763542325,0.04697252429302126,71.16068621742524,0.06838027650329187,9.706053,2.2820454,0.6266234966575119,0.6607167025219322,"NOT_AVAILABLE",3851.7266,0.5197,,,"HIP12097",38.9721119985001,20.2198842608431,71.1607,249.929,-140.4,1.002,2000.0,7.750271976240435E-9
5171076479048181760,39.89155761093919,0.7280355427690596,-11.873178818387304,0.6678253838915379,42.48636669799672,0.7591058503724168,4.5512877,0.6020479,,,"NOT_AVAILABLE",6282.5,,2.088374,6.1212654,"HIP12390",39.8908225535008,-11.8720976755967,42.4864,161.62,-230.53,15.49,2000.0,9.165160942332304E-5
5173902189571919872,40.051156672842296,0.22981530517293636,-9.453211006443768,0.18565531598348003,45.609877130717166,0.24509389120173172,5.6481676,0.6904688,-8.496937192197514,3.386385039165076,"NOT_AVAILABLE",6237.0,0.092,1.1915553,1.9356465,"HIP12444",40.0517588592931,-9.4528711221292,45.6099,-137.964,-78.941,-2.5,2000.0,4.001749532606076E-9
18262823713408000,40.06559573232256,0.08123011926502255,6.111944816056053,0.04404278753463648,25.240217389581677,0.0706425382049371,6.140049,0.5490265,19.025377348873683,0.6080242927318977,"NOT_AVAILABLE",6665.5,0.378,1.5007428,4.0053287,"HIP12447",40.0653821873626,6.1119497447183,25.2402,49.316,-1.145,18.2,2000.0,1.210151862197633E-9
2502847975056346752,40.824519306307806,0.7877691063358294,3.2351887961928214,0.6557286600075589,43.595737964268544,0.8189837964877501,3.4288065,0.18399858,,,"NOT_AVAILABLE",6982.0,,2.7644982,16.36239,"HIP12706",40.825162898112545,3.2358163764959436,40.97,-146.1,-146.12,-4.9,2000.0,1.3610946774916516E-5
84675937371332608,40.83910180283584,0.1593411808647959,19.42918797736012,0.16406870838047924,53.55791860023809,0.18141878290647842,7.8427715,1.3369102,32.98206568457924,0.5993748876053264,"NOT_AVAILABLE",4613.8667,0.3137,0.7551523,0.23282199,"HIP12709",40.8370214710416,19.429175713919,53.5579,455.659,2.846,31.28,2000.0,5.533715130589462E-8
438829629113960704,41.05215123914001,0.2868725005912202,49.22806439016316,0.21901302349061644,89.69549229503411,0.3006135309064252,3.8917007,0.6883509,25.089425561708538,0.663703482267956,"NOT_AVAILABLE",6282.5,0.228,1.3403078,2.5213537,"HIP12777",41.049946008333336,49.22844753333333,89.87,334.66,-89.99,24.394,2000.0,4.381157472140755E-6
